ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE
10107,30,95.7,2/24/2003 0:00
10121,34,81.35,5/7/2003 0:00
10134,41,94.74,7/1/2003 0:00
10145,45,83.26,8/25/2003 0:00
10159,49,100.0,10/10/2003 0:00
10168,36,96.66,10/28/2003 0:00
10180,29,86.13,11/11/2003 0:00
10188,48,100.0,11/18/2003 0:00
10201,22,98.57,12/1/2003 0:00
10211,41,100.0,1/15/2004 0:00
10223,37,100.0,2/20/2004 0:00
10237,23,100.0,4/5/2004 0:00
10251,28,100.0,5/18/2004 0:00
10263,34,100.0,6/28/2004 0:00
10275,45,92.83,7/23/2004 0:00
10285,36,100.0,8/27/2004 0:00
10299,23,100.0,9/30/2004 0:00
10309,41,100.0,10/15/2004 0:00
10318,46,94.74,11/2/2004 0:00
10329,42,100.0,11/15/2004 0:00
10341,41,100.0,11/24/2004 0:00
10361,20,72.55,12/17/2004 0:00
10375,21,34.91,2/3/2005 0:00
10388,42,76.36,3/3/2005 0:00
10403,24,100.0,4/8/2005 0:00
10417,66,100.0,5/13/2005 0:00
10103,26,100.0,1/29/2003 0:00
10112,29,100.0,3/24/2003 0:00
10126,38,100.0,5/28/2003 0:00
10140,37,100.0,7/24/2003 0:00
10150,45,100.0,9/19/2003 0:00
10163,21,100.0,10/20/2003 0:00
10174,34,100.0,11/6/2003 0:00
10183,23,100.0,11/13/2003 0:00
10194,42,100.0,11/25/2003 0:00
10206,47,100.0,12/5/2003 0:00
10215,35,100.0,1/29/2004 0:00
10228,29,100.0,3/10/2004 0:00
10245,34,100.0,5/4/2004 0:00
10258,32,100.0,6/15/2004 0:00
10270,21,100.0,7/19/2004 0:00
10280,34,100.0,8/17/2004 0:00
10291,37,100.0,9/8/2004 0:00
10304,47,100.0,10/11/2004 0:00
10312,48,100.0,10/21/2004 0:00
10322,40,100.0,11/4/2004 0:00
10333,26,100.0,11/18/2004 0:00
10347,30,100.0,11/29/2004 0:00
10357,32,100.0,12/10/2004 0:00
10369,41,100.0,1/20/2005 0:00
10381,36,100.0,2/17/2005 0:00
10391,24,100.0,3/9/2005 0:00
10411,23,100.0,5/1/2005 0:00
10424,50,100.0,5/31/2005 0:00
10107,39,99.91,2/24/2003 0:00
10120,29,96.34,4/29/2003 0:00
10134,27,100.0,7/1/2003 0:00
10145,37,100.0,8/25/2003 0:00
10159,37,100.0,10/10/2003 0:00
10168,27,100.0,10/28/2003 0:00
10180,42,100.0,11/11/2003 0:00
10188,38,96.34,11/18/2003 0:00
10201,24,100.0,12/1/2003 0:00
10210,23,100.0,1/12/2004 0:00
10223,47,100.0,2/20/2004 0:00
10236,22,100.0,4/3/2004 0:00
10251,44,100.0,5/18/2004 0:00
10263,40,100.0,6/28/2004 0:00
10275,22,100.0,7/23/2004 0:00
10285,47,100.0,8/27/2004 0:00
10298,39,96.34,9/27/2004 0:00
10308,34,100.0,10/15/2004 0:00
10318,45,100.0,11/2/2004 0:00
10329,20,100.0,11/15/2004 0:00
10339,40,68.92,11/23/2004 0:00
10361,26,51.15,12/17/2004 0:00
10374,39,100.0,2/2/2005 0:00
10388,50,44.51,3/3/2005 0:00
10402,45,100.0,4/7/2005 0:00
10417,45,100.0,5/13/2005 0:00
10107,27,100.0,2/24/2003 0:00
10120,46,100.0,4/29/2003 0:00
10134,31,100.0,7/1/2003 0:00
10145,33,100.0,8/25/2003 0:00
10159,22,100.0,10/10/2003 0:00
10168,20,100.0,10/28/2003 0:00
10180,41,100.0,11/11/2003 0:00
10188,45,100.0,11/18/2003 0:00
10201,49,100.0,12/1/2003 0:00
10210,34,100.0,1/12/2004 0:00
10223,49,100.0,2/20/2004 0:00
10237,39,100.0,4/5/2004 0:00
10251,43,100.0,5/18/2004 0:00
10263,41,100.0,6/28/2004 0:00
10275,36,100.0,7/23/2004 0:00
10285,27,100.0,8/27/2004 0:00
10299,29,100.0,9/30/2004 0:00
10308,20,100.0,10/15/2004 0:00
10318,37,100.0,11/2/2004 0:00
10329,26,100.0,11/15/2004 0:00
10339,39,76.67,11/23/2004 0:00
10362,22,100.0,1/5/2005 0:00
10374,22,100.0,2/2/2005 0:00
10388,21,86.77,3/3/2005 0:00
10403,66,100.0,4/8/2005 0:00
10417,56,100.0,5/13/2005 0:00
10105,50,100.0,2/11/2003 0:00
10119,46,100.0,4/28/2003 0:00
10129,33,100.0,6/12/2003 0:00
10143,49,100.0,8/10/2003 0:00
10155,32,100.0,10/6/2003 0:00
10167,44,100.0,10/23/2003 0:00
10178,24,100.0,11/8/2003 0:00
10186,26,100.0,11/14/2003 0:00
10197,45,100.0,11/26/2003 0:00
10209,39,100.0,1/9/2004 0:00
10222,49,100.0,2/19/2004 0:00
10248,20,100.0,5/7/2004 0:00
10261,27,100.0,6/17/2004 0:00
10273,30,100.0,7/21/2004 0:00
10283,25,100.0,8/20/2004 0:00
10295,24,100.0,9/10/2004 0:00
10307,22,100.0,10/14/2004 0:00
10316,33,100.0,11/1/2004 0:00
10325,47,64.93,11/5/2004 0:00
10337,25,48.05,11/21/2004 0:00
10350,26,75.47,12/2/2004 0:00
10359,48,54.68,12/15/2004 0:00
10373,39,100.0,1/31/2005 0:00
10384,34,100.0,2/23/2005 0:00
10395,32,100.0,3/17/2005 0:00
10400,64,100.0,4/1/2005 0:00
10414,19,100.0,5/6/2005 0:00
10103,42,100.0,1/29/2003 0:00
10114,31,100.0,4/1/2003 0:00
10126,22,100.0,5/28/2003 0:00
10140,26,100.0,7/24/2003 0:00
10150,20,100.0,9/19/2003 0:00
10164,21,100.0,10/21/2003 0:00
10175,33,100.0,11/6/2003 0:00
10183,28,100.0,11/13/2003 0:00
10194,26,100.0,11/25/2003 0:00
10207,31,100.0,12/9/2003 0:00
10217,48,100.0,2/4/2004 0:00
10229,50,100.0,3/11/2004 0:00
10245,28,100.0,5/4/2004 0:00
10259,26,100.0,6/15/2004 0:00
10270,32,100.0,7/19/2004 0:00
10281,44,100.0,8/19/2004 0:00
10291,30,100.0,9/8/2004 0:00
10305,38,100.0,10/13/2004 0:00
10313,40,100.0,10/22/2004 0:00
10322,46,61.99,11/4/2004 0:00
10334,26,100.0,11/19/2004 0:00
10347,27,100.0,11/29/2004 0:00
10357,43,100.0,12/10/2004 0:00
10370,35,65.63,1/20/2005 0:00
10381,37,100.0,2/17/2005 0:00
10391,37,46.9,3/9/2005 0:00
10411,27,100.0,5/1/2005 0:00
10425,38,100.0,5/31/2005 0:00
10108,33,100.0,3/3/2003 0:00
10122,42,100.0,5/8/2003 0:00
10135,42,100.0,7/2/2003 0:00
10147,48,100.0,9/5/2003 0:00
10159,41,100.0,10/10/2003 0:00
10169,30,100.0,11/4/2003 0:00
10181,27,100.0,11/12/2003 0:00
10191,21,100.0,11/20/2003 0:00
10203,20,100.0,12/2/2003 0:00
10211,41,100.0,1/15/2004 0:00
10225,27,100.0,2/22/2004 0:00
10238,28,100.0,4/9/2004 0:00
10253,24,100.0,6/1/2004 0:00
10266,44,100.0,7/6/2004 0:00
10276,50,100.0,8/2/2004 0:00
10287,21,100.0,8/30/2004 0:00
10300,33,100.0,10/4/2003 0:00
10310,33,100.0,10/16/2004 0:00
10320,31,100.0,11/3/2004 0:00
10329,41,71.47,11/15/2004 0:00
10341,45,79.65,11/24/2004 0:00
10363,33,85.39,1/6/2005 0:00
10375,45,76.0,2/3/2005 0:00
10389,26,99.04,3/3/2005 0:00
10419,12,100.0,5/17/2005 0:00
10105,41,100.0,2/11/2003 0:00
10117,33,100.0,4/16/2003 0:00
10127,46,100.0,6/3/2003 0:00
10142,33,100.0,8/8/2003 0:00
10153,20,100.0,9/28/2003 0:00
10165,44,100.0,10/22/2003 0:00
10176,33,100.0,11/6/2003 0:00
10185,21,100.0,11/14/2003 0:00
10196,47,100.0,11/26/2003 0:00
10208,46,100.0,1/2/2004 0:00
10220,32,100.0,2/12/2004 0:00
10231,42,100.0,3/19/2004 0:00
10247,44,100.0,5/5/2004 0:00
10272,35,100.0,7/20/2004 0:00
10282,41,100.0,8/20/2004 0:00
10293,46,100.0,9/9/2004 0:00
10306,31,100.0,10/14/2004 0:00
10314,38,100.0,10/22/2004 0:00
10325,42,64.0,11/5/2004 0:00
10336,33,57.22,11/20/2004 0:00
10348,48,52.36,11/1/2004 0:00
10359,42,100.0,12/15/2004 0:00
10371,32,100.0,1/23/2005 0:00
10382,34,100.0,2/17/2005 0:00
10395,33,69.12,3/17/2005 0:00
10413,36,100.0,5/5/2005 0:00
10103,27,100.0,1/29/2003 0:00
10113,21,100.0,3/26/2003 0:00
10126,21,100.0,5/28/2003 0:00
10140,38,100.0,7/24/2003 0:00
10150,30,100.0,9/19/2003 0:00
10164,49,100.0,10/21/2003 0:00
10174,43,100.0,11/6/2003 0:00
10183,41,100.0,11/13/2003 0:00
10194,38,100.0,11/25/2003 0:00
10206,28,100.0,12/5/2003 0:00
10216,43,100.0,2/2/2004 0:00
10229,25,100.0,3/11/2004 0:00
10245,38,100.0,5/4/2004 0:00
10258,41,100.0,6/15/2004 0:00
10270,28,100.0,7/19/2004 0:00
10281,25,100.0,8/19/2004 0:00
10291,41,100.0,9/8/2004 0:00
10304,39,100.0,10/11/2004 0:00
10313,21,100.0,10/22/2004 0:00
10322,27,100.0,11/4/2004 0:00
10333,33,99.21,11/18/2004 0:00
10347,29,100.0,11/29/2004 0:00
10357,49,100.0,12/10/2004 0:00
10370,49,100.0,1/20/2005 0:00
10381,20,100.0,2/17/2005 0:00
10391,39,63.2,3/9/2005 0:00
10411,40,100.0,5/1/2005 0:00
10424,49,100.0,5/31/2005 0:00
10107,21,100.0,2/24/2003 0:00
10121,50,100.0,5/7/2003 0:00
10134,20,100.0,7/1/2003 0:00
10145,49,100.0,8/25/2003 0:00
10159,38,100.0,10/10/2003 0:00
10169,35,100.0,11/4/2003 0:00
10180,40,100.0,11/11/2003 0:00
10189,28,100.0,11/18/2003 0:00
10201,25,100.0,12/1/2003 0:00
10211,36,100.0,1/15/2004 0:00
10224,43,100.0,2/21/2004 0:00
10237,32,100.0,4/5/2004 0:00
10251,46,100.0,5/18/2004 0:00
10263,48,100.0,6/28/2004 0:00
10276,43,100.0,8/2/2004 0:00
10285,49,100.0,8/27/2004 0:00
10299,24,100.0,9/30/2004 0:00
10309,26,100.0,10/15/2004 0:00
10319,30,100.0,11/3/2004 0:00
10329,24,100.0,11/15/2004 0:00
10341,55,100.0,11/24/2004 0:00
10362,22,100.0,1/5/2005 0:00
10375,49,78.92,2/3/2005 0:00
10388,44,100.0,3/3/2005 0:00
10403,66,100.0,4/8/2005 0:00
10417,21,100.0,5/13/2005 0:00
10104,34,100.0,1/31/2003 0:00
10117,43,100.0,4/16/2003 0:00
10127,46,100.0,6/3/2003 0:00
10142,33,100.0,8/8/2003 0:00
10153,42,100.0,9/28/2003 0:00
10165,34,100.0,10/22/2003 0:00
10176,47,100.0,11/6/2003 0:00
10185,33,100.0,11/14/2003 0:00
10196,24,100.0,11/26/2003 0:00
10208,26,100.0,1/2/2004 0:00
10220,30,100.0,2/12/2004 0:00
10230,43,100.0,3/15/2004 0:00
10247,25,100.0,5/5/2004 0:00
10272,27,100.0,7/20/2004 0:00
10282,27,100.0,8/20/2004 0:00
10293,24,100.0,9/9/2004 0:00
10306,34,100.0,10/14/2004 0:00
10314,46,100.0,10/22/2004 0:00
10324,27,54.33,11/5/2004 0:00
10336,33,100.0,11/20/2004 0:00
10348,47,100.0,11/1/2004 0:00
10358,49,55.34,12/10/2004 0:00
10372,40,100.0,1/26/2005 0:00
10382,37,100.0,2/17/2005 0:00
10413,47,100.0,5/5/2005 0:00
10108,45,100.0,3/3/2003 0:00
10122,37,99.82,5/8/2003 0:00
10135,48,100.0,7/2/2003 0:00
10147,31,100.0,9/5/2003 0:00
10160,46,100.0,10/11/2003 0:00
10170,47,100.0,11/4/2003 0:00
10181,28,100.0,11/12/2003 0:00
10191,40,100.0,11/20/2003 0:00
10203,20,100.0,12/2/2003 0:00
10212,39,100.0,1/16/2004 0:00
10225,25,99.82,2/22/2004 0:00
10238,29,100.0,4/9/2004 0:00
10253,22,100.0,6/1/2004 0:00
10266,22,100.0,7/6/2004 0:00
10276,47,100.0,8/2/2004 0:00
10287,45,100.0,8/30/2004 0:00
10300,29,100.0,10/4/2003 0:00
10310,24,100.0,10/16/2004 0:00
10320,35,100.0,11/3/2004 0:00
10329,46,83.63,11/15/2004 0:00
10341,44,95.93,11/24/2004 0:00
10363,34,96.73,1/6/2005 0:00
10376,35,100.0,2/8/2005 0:00
10389,25,72.38,3/3/2005 0:00
10419,10,100.0,5/17/2005 0:00
10105,29,100.0,2/11/2003 0:00
10117,39,100.0,4/16/2003 0:00
10127,42,100.0,6/3/2003 0:00
10142,46,100.0,8/8/2003 0:00
10153,49,100.0,9/28/2003 0:00
10165,27,100.0,10/22/2003 0:00
10176,50,100.0,11/6/2003 0:00
10185,43,100.0,11/14/2003 0:00
10196,38,100.0,11/26/2003 0:00
10208,20,100.0,1/2/2004 0:00
10220,27,100.0,2/12/2004 0:00
10231,49,100.0,3/19/2004 0:00
10247,27,100.0,5/5/2004 0:00
10272,39,100.0,7/20/2004 0:00
10282,24,100.0,8/20/2004 0:00
10293,45,100.0,9/9/2004 0:00
10306,20,100.0,10/14/2004 0:00
10314,36,100.0,10/22/2004 0:00
10325,24,100.0,11/5/2004 0:00
10336,49,63.38,11/20/2004 0:00
10349,26,100.0,12/1/2004 0:00
10359,49,62.09,12/15/2004 0:00
10372,34,100.0,1/26/2005 0:00
10382,34,95.35,2/17/2005 0:00
10396,33,100.0,3/23/2005 0:00
10413,22,100.0,5/5/2005 0:00
10108,39,89.38,3/3/2003 0:00
10122,32,63.84,5/8/2003 0:00
10135,24,75.01,7/2/2003 0:00
10147,21,63.84,9/5/2003 0:00
10159,24,73.42,10/10/2003 0:00
10169,36,63.84,11/4/2003 0:00
10181,20,81.4,11/12/2003 0:00
10191,30,64.64,11/20/2003 0:00
10203,44,82.99,12/2/2003 0:00
10211,28,92.57,1/15/2004 0:00
10225,37,77.41,2/22/2004 0:00
10238,20,74.21,4/9/2004 0:00
10253,25,90.17,6/1/2004 0:00
10266,35,76.61,7/6/2004 0:00
10276,38,83.79,8/2/2004 0:00
10287,41,69.43,8/30/2004 0:00
10300,22,76.61,10/4/2003 0:00
10310,49,81.4,10/16/2004 0:00
10320,38,73.42,11/3/2004 0:00
10329,33,100.0,11/15/2004 0:00
10341,36,93.56,11/24/2004 0:00
10363,34,81.62,1/6/2005 0:00
10377,24,67.83,2/9/2005 0:00
10389,36,70.26,3/3/2005 0:00
10419,34,90.17,5/17/2005 0:00
10104,41,100.0,1/31/2003 0:00
10115,46,100.0,4/4/2003 0:00
10127,24,100.0,6/3/2003 0:00
10141,21,100.0,8/1/2003 0:00
10151,24,100.0,9/21/2003 0:00
10165,48,100.0,10/22/2003 0:00
10175,26,100.0,11/6/2003 0:00
10184,37,100.0,11/14/2003 0:00
10195,49,100.0,11/25/2003 0:00
10207,34,99.54,12/9/2003 0:00
10219,48,100.0,2/10/2004 0:00
10229,36,100.0,3/11/2004 0:00
10246,46,100.0,5/5/2004 0:00
10259,46,100.0,6/15/2004 0:00
10271,31,97.17,7/20/2004 0:00
10281,41,100.0,8/19/2004 0:00
10292,21,100.0,9/8/2004 0:00
10305,38,100.0,10/13/2004 0:00
10314,45,100.0,10/22/2004 0:00
10324,26,58.38,11/5/2004 0:00
10336,38,100.0,11/20/2004 0:00
10349,48,100.0,12/1/2004 0:00
10358,42,64.16,12/10/2004 0:00
10371,49,35.71,1/23/2005 0:00
10382,32,66.58,2/17/2005 0:00
10412,54,100.0,5/3/2005 0:00
10425,33,100.0,5/31/2005 0:00
10108,36,100.0,3/3/2003 0:00
10122,20,100.0,5/8/2003 0:00
10135,29,97.89,7/2/2003 0:00
10147,33,97.89,9/5/2003 0:00
10160,50,100.0,10/11/2003 0:00
10170,41,100.0,11/4/2003 0:00
10181,36,100.0,11/12/2003 0:00
10192,27,100.0,11/20/2003 0:00
10203,47,100.0,12/2/2003 0:00
10212,33,100.0,1/16/2004 0:00
10225,21,100.0,2/22/2004 0:00
10239,21,93.28,4/12/2004 0:00
10253,41,100.0,6/1/2004 0:00
10266,40,100.0,7/6/2004 0:00
10277,28,100.0,8/4/2004 0:00
10287,23,100.0,8/30/2004 0:00
10300,23,100.0,10/4/2003 0:00
10310,25,100.0,10/16/2004 0:00
10321,24,100.0,11/4/2004 0:00
10329,39,64.74,11/15/2004 0:00
10341,55,75.2,11/24/2004 0:00
10363,46,88.45,1/6/2005 0:00
10377,50,100.0,2/9/2005 0:00
10389,47,100.0,3/3/2005 0:00
10405,97,93.28,4/14/2005 0:00
10419,32,100.0,5/17/2005 0:00
10103,35,100.0,1/29/2003 0:00
10113,49,100.0,3/26/2003 0:00
10126,38,100.0,5/28/2003 0:00
10140,32,100.0,7/24/2003 0:00
10150,34,100.0,9/19/2003 0:00
10164,36,99.17,10/21/2003 0:00
10174,48,93.34,11/6/2003 0:00
10183,21,96.84,11/13/2003 0:00
10194,21,93.34,11/25/2003 0:00
10206,34,100.0,12/5/2003 0:00
10215,46,100.0,1/29/2004 0:00
10228,32,100.0,3/10/2004 0:00
10245,29,100.0,5/4/2004 0:00
10258,41,100.0,6/15/2004 0:00
10270,43,96.84,7/19/2004 0:00
10280,24,100.0,8/17/2004 0:00
10291,41,100.0,9/8/2004 0:00
10304,46,98.0,10/11/2004 0:00
10312,32,100.0,10/21/2004 0:00
10322,22,100.0,11/4/2004 0:00
10333,29,40.25,11/18/2004 0:00
10347,42,49.6,11/29/2004 0:00
10357,39,98.0,12/10/2004 0:00
10370,27,100.0,1/20/2005 0:00
10381,48,98.0,2/17/2005 0:00
10391,29,85.1,3/9/2005 0:00
10411,27,100.0,5/1/2005 0:00
10424,54,100.0,5/31/2005 0:00
10109,26,100.0,3/10/2003 0:00
10122,34,100.0,5/8/2003 0:00
10136,25,100.0,7/4/2003 0:00
10148,23,100.0,9/11/2003 0:00
10161,28,100.0,10/17/2003 0:00
10171,35,100.0,11/5/2003 0:00
10181,44,100.0,11/12/2003 0:00
10192,22,100.0,11/20/2003 0:00
10204,42,100.0,12/2/2003 0:00
10212,29,100.0,1/16/2004 0:00
10225,32,100.0,2/22/2004 0:00
10240,41,100.0,4/13/2004 0:00
10253,26,100.0,6/1/2004 0:00
10266,21,100.0,7/6/2004 0:00
10278,34,100.0,8/6/2004 0:00
10287,41,100.0,8/30/2004 0:00
10301,37,100.0,10/5/2003 0:00
10310,37,100.0,10/16/2004 0:00
10321,41,100.0,11/4/2004 0:00
10331,46,100.0,11/17/2004 0:00
10342,40,100.0,11/24/2004 0:00
10356,43,97.6,12/9/2004 0:00
10365,30,87.06,1/7/2005 0:00
10377,35,100.0,2/9/2005 0:00
10390,36,93.77,3/4/2005 0:00
10406,61,100.0,4/15/2005 0:00
10419,38,100.0,5/17/2005 0:00
10102,39,100.0,1/10/2003 0:00
10111,33,99.66,3/25/2003 0:00
10125,32,100.0,5/21/2003 0:00
10139,31,100.0,7/16/2003 0:00
10149,50,100.0,9/12/2003 0:00
10162,48,91.44,10/18/2003 0:00
10173,43,100.0,11/5/2003 0:00
10182,25,87.33,11/12/2003 0:00
10193,28,100.0,11/21/2003 0:00
10205,36,100.0,12/3/2003 0:00
10215,27,89.38,1/29/2004 0:00
10227,25,100.0,3/2/2004 0:00
10244,40,100.0,4/29/2004 0:00
10256,34,95.55,6/8/2004 0:00
10280,50,100.0,8/17/2004 0:00
10289,38,100.0,9/3/2004 0:00
10304,37,95.55,10/11/2004 0:00
10312,43,89.38,10/21/2004 0:00
10322,43,86.3,11/4/2004 0:00
10332,46,95.13,11/17/2004 0:00
10346,42,36.11,11/29/2004 0:00
10356,50,50.18,12/9/2004 0:00
10369,44,100.0,1/20/2005 0:00
10380,27,93.16,2/16/2005 0:00
10391,35,100.0,3/9/2005 0:00
10422,51,95.55,5/30/2005 0:00
10102,41,50.14,1/10/2003 0:00
10111,48,49.06,3/25/2003 0:00
10126,42,54.99,5/28/2003 0:00
10139,49,43.13,7/16/2003 0:00
10149,30,58.22,9/12/2003 0:00
10162,45,51.21,10/18/2003 0:00
10173,48,44.21,11/5/2003 0:00
10182,32,54.45,11/12/2003 0:00
10193,46,53.37,11/21/2003 0:00
10205,48,63.61,12/3/2003 0:00
10215,33,43.13,1/29/2004 0:00
10227,31,48.52,3/2/2004 0:00
10244,20,58.22,4/29/2004 0:00
10256,29,51.75,6/8/2004 0:00
10280,27,57.68,8/17/2004 0:00
10289,24,56.07,9/3/2004 0:00
10304,37,48.52,10/11/2004 0:00
10312,25,44.21,10/21/2004 0:00
10322,41,57.68,11/4/2004 0:00
10332,27,89.89,11/17/2004 0:00
10347,21,58.95,11/29/2004 0:00
10356,22,72.41,12/9/2004 0:00
10369,32,98.63,1/20/2005 0:00
10381,25,52.83,2/17/2005 0:00
10391,42,100.0,3/9/2005 0:00
10422,25,51.75,5/30/2005 0:00
10110,37,100.0,3/18/2003 0:00
10123,26,100.0,5/20/2003 0:00
10137,44,99.55,7/10/2003 0:00
10148,47,100.0,9/11/2003 0:00
10161,43,100.0,10/17/2003 0:00
10172,42,100.0,11/5/2003 0:00
10181,42,100.0,11/12/2003 0:00
10192,29,100.0,11/20/2003 0:00
10204,40,100.0,12/2/2003 0:00
10212,38,100.0,1/16/2004 0:00
10226,38,100.0,2/26/2004 0:00
10241,21,100.0,4/13/2004 0:00
10253,24,100.0,6/1/2004 0:00
10266,36,100.0,7/6/2004 0:00
10278,23,100.0,8/6/2004 0:00
10288,20,100.0,9/1/2004 0:00
10301,32,100.0,10/5/2003 0:00
10311,29,100.0,10/16/2004 0:00
10321,44,100.0,11/4/2004 0:00
10331,44,100.0,11/17/2004 0:00
10343,36,100.0,11/24/2004 0:00
10367,49,56.3,1/12/2005 0:00
10378,34,42.64,2/10/2005 0:00
10407,59,100.0,4/22/2005 0:00
10419,37,100.0,5/17/2005 0:00
10106,36,100.0,2/17/2003 0:00
10119,43,100.0,4/28/2003 0:00
10131,21,100.0,6/16/2003 0:00
10143,32,100.0,8/10/2003 0:00
10155,38,100.0,10/6/2003 0:00
10167,43,100.0,10/23/2003 0:00
10178,42,100.0,11/8/2003 0:00
10186,32,100.0,11/14/2003 0:00
10198,42,100.0,11/27/2003 0:00
10210,31,100.0,1/12/2004 0:00
10222,49,100.0,2/19/2004 0:00
